#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SRR5024_pe_SRR5024282_db_meta4.metaphlan	SRR5024_pe_SRR5024281_db_meta4.metaphlan	SRR5024_pe_SRR5024283_db_meta4.metaphlan	SRR5024_pe_SRR5024280_db_meta4.metaphlan
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.81124	0.97681	0.51233	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.80965	0.38458	1.25168	0.78112
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.80183	1.3482	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	0.52498	0.0081	0.0	0.00317
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.50081	0.00104	0.0	0.02713
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.49967	0.03827	0.0	4.4837
k__Bacteria|p__Firmicutes|c__CFGB3043|o__OFGB3043|f__FGB3043	0.45323	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2983|o__OFGB2983|f__FGB2983	0.40334	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75715|o__OFGB75715|f__FGB75715	0.36587	0.0	0.0	0.00067
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.27548	0.23381	0.60536	0.0081
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.27212	0.15679	0.0	1.00278
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985|f__FGB2985	0.26335	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.2383	0.17905	0.0	0.92553
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.23518	2.1192	0.0	6.39156
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992	0.2328	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	0.21577	0.06664	0.0	0.22736
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011	0.20897	0.00978	0.02589	0.07177
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.19179	0.70942	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76779|o__OFGB76779|f__FGB76779	0.14843	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	0.13867	0.02374	0.0	0.07087
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403	0.13434	0.09135	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	0.11886	0.36803	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	0.11465	0.0	0.0	0.3511
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212|f__FGB15212	0.10424	0.02336	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881|f__FGB2881	0.0905	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070	0.08417	0.4475	0.02886	0.00189
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	0.07712	0.00232	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359	0.07367	0.01849	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.06889	0.00505	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	0.06832	0.0	0.0	0.00147
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388|f__FGB76388	0.0658	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352	0.05916	0.06732	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670|f__FGB1670	0.05493	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	0.05069	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503	0.04746	0.0	0.0	0.1107
k__Bacteria|p__Firmicutes|c__CFGB76533|o__OFGB76533|f__FGB76533	0.04476	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.04458	0.56004	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465|f__FGB76465	0.04025	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76784|o__OFGB76784|f__FGB76784	0.03123	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3172|o__OFGB3172|f__FGB3172	0.02995	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292	0.02946	0.1827	0.0	0.32437
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004|f__FGB3004	0.02807	0.00182	0.0	0.00717
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844|f__FGB2844	0.02661	0.00137	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922|f__FGB75922	0.0242	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581|f__FGB9581	0.02368	0.0	0.0	0.00245
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	0.02263	0.0	0.0	0.14565
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262|f__FGB1262	0.02224	0.0	0.0	0.01575
k__Bacteria|p__Firmicutes|c__CFGB2957|o__OFGB2957|f__FGB2957	0.0211	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047	0.02062	0.01228	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76016|o__OFGB76016|f__FGB76016	0.01879	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926|f__FGB72926	0.01732	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76428|o__OFGB76428|f__FGB76428	0.01455	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.01315	0.00553	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071|f__FGB3071	0.01233	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	0.00932	0.32088	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	0.00803	0.0	0.0	0.03186
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	0.00767	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507	0.00724	0.05019	0.08566	0.00537
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898|f__FGB2898	0.00713	0.0	0.0	0.01245
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae	0.00675	0.01515	0.19648	0.0
